-1.01100,-0.3125
-0.94500,-0.2988
-0.87850,-0.2852
-0.81200,-0.2695
-0.74500,-0.2559
-0.67900,-0.2461
-0.61250,-0.2324
-0.54650,-0.2168
-0.47800,-0.2051
-0.41150,-0.1953
-0.34550,-0.1895
-0.27900,-0.1836
-0.21300,-0.1641
-0.14700,-0.1562
-0.08150,-0.1504
-0.01500,-0.1328
0.05200,-0.1250
0.11800,-0.1094
0.18400,-0.1035
0.25000,-0.0840
0.31500,-0.0625
0.38050,-0.0391
0.44600,-0.0137
0.51350,0.0215
0.57950,0.0625
0.64450,0.1113
0.71050,0.1738
0.77650,0.2441
0.84150,0.3262
0.90650,0.4219
0.97250,0.5332
